"U_PlateID","BloodID","Cq.GAPDH","Eff.GAPDH","Cq.Telomere","Eff.Telomere","RTL","Whodunnit"
"6_10","20000",24.911,1.90166666666667,16.0726666666667,1.74733333333333,1,"EAF"
"6_10","219",23.8866666666667,1.90766666666667,15.521,1.76066666666667,0.705023897802472,"EAF"
"6_10","2699",23.3913333333333,1.92366666666667,14.9443333333333,1.72933333333333,0.686473639413764,"EAF"
"6_10","2700",23.3533333333333,1.95066666666667,14.9026666666667,1.727,0.669304200951262,"EAF"
"6_10","2701",23.382,1.94766666666667,14.6423333333333,1.76166666666667,0.811119881648036,"EAF"
"6_10","2708",23.5676666666667,1.979,14.583,1.73566666666667,0.908865215471441,"EAF"
"6_10","2720",23.5373333333333,1.91933333333333,15.734,1.746,0.493194291966109,"EAF"
"6_10","2746",23.496,1.96,14.7843333333333,1.75066666666667,0.793934705509462,"EAF"
"6_10","4731",23.549,1.931,14.7713333333333,1.72233333333333,0.828002665622044,"EAF"
"6_10","4915",23.8186666666667,1.91766666666667,15.915,1.71466666666667,0.534613387015141,"EAF"
"6_10","5402",23.505,1.93833333333333,14.1316666666667,1.74133333333333,1.15725048995707,"EAF"
"6_10","646",23.338,1.921,14.8986666666667,1.732,0.682443458467301,"EAF"
"6_10","910",23.5083333333333,1.91966666666667,14.172,1.73066666666667,1.13629972609951,"EAF"
"6_11","20000",23.1696666666667,1.90866666666667,13.8353333333333,1.72666666666667,1,"EAF"
"6_11","3514",22.9393333333333,1.94033333333333,14.0733333333333,1.72566666666667,0.753870479565162,"EAF"
"6_11","3516",27.663,1.90433333333333,30.3186666666667,1.83666666666667,0.000803300868413684,"EAF"
"6_11","3519",23.2533333333333,1.94166666666667,13.6863333333333,1.76033333333333,1.15001698984277,"EAF"
"6_11","3539",24.0176666666667,1.90366666666667,16.3296666666667,1.709,0.453478605755024,"EAF"
"6_11","3828",23.0486666666667,1.921,13.5046666666667,1.734,1.10850780582374,"EAF"
"6_12","20000",23.7256666666667,1.92166666666667,14.3106666666667,1.78733333333333,1,"EAF"
"6_12","2713",23.917,1.919,13.9513333333333,1.75866666666667,1.38760001027834,"EAF"
"6_12","2720",23.4506666666667,1.908,13.8576666666667,1.748,1.07823199602642,"EAF"
"6_12","2721",24.124,1.902,14.5936666666667,1.76066666666667,1.1007589440944,"EAF"
"6_12","4238",23.2636666666667,1.82566666666667,14.0796666666667,1.72333333333333,0.8586666172729,"EAF"
"6_12","86",23.586,1.90433333333333,14.607,1.76433333333333,0.772430064757306,"EAF"
"6_12","910",23.8066666666667,1.923,13.984,1.753,1.26659493779207,"EAF"
"6_13","1127",23.6873333333333,1.861,15.3466666666667,1.76366666666667,0.463471549173372,"EAF"
"6_13","20000",23.543,1.93433333333333,13.8333333333333,1.76333333333333,1,"EAF"
"6_13","211",24.9906666666667,1.854,16.829,1.75566666666667,0.452758462947943,"EAF"
"6_13","2697",24.196,1.89533333333333,14.6166666666667,1.78733333333333,0.963313572311168,"EAF"
"6_13","2714",23.626,1.93333333333333,13.0266666666667,1.781,1.68254112327367,"EAF"
"6_13","2731",23.7036666666667,1.891,14.3416666666667,1.77066666666667,0.82855032700011,"EAF"
"6_13","2736",23.7883333333333,1.95666666666667,13.7393333333333,1.779,1.24461588278893,"EAF"
"6_13","2741",23.2176666666667,1.907,13.4646666666667,1.78633333333333,1.00388219221499,"EAF"
"6_13","2759",24.123,1.88866666666667,12.985,1.76633333333333,2.34298797830496,"EAF"
"6_13","3151",23.0956666666667,1.898,13.96,1.78066666666667,0.697860091808139,"EAF"
"6_13","566",23.1486666666667,1.93633333333333,13.556,1.78833333333333,0.905412629456797,"EAF"
"6_13","816",23.673,1.972,14.296,1.77733333333333,0.837101577687996,"EAF"
"6_13","910",24.1676666666667,1.89966666666667,15.2766666666667,1.796,0.641256348369074,"EAF"
"6_14","20000",23.933,1.89433333333333,13.935,1.76866666666667,1,"EAF"
"6_14","3211",23.632,1.89533333333333,14.3896666666667,1.79666666666667,0.632002417391713,"EAF"
"6_14","3224",24.1396666666667,1.89,13.9,1.76466666666667,1.16350601660324,"EAF"
"6_14","3232",23.7713333333333,1.86066666666667,15.079,1.75033333333333,0.4767310363347,"EAF"
"6_14","3234",23.519,1.92533333333333,13.9083333333333,1.77633333333333,0.774227388954722,"EAF"
"6_14","3235",23.2136666666667,1.92366666666667,14.072,1.78566666666667,0.576924916825618,"EAF"
"6_14","3238",23.0423333333333,1.903,13.1893333333333,1.76233333333333,0.860226557160264,"EAF"
"6_14","3834",23.3843333333333,1.917,14.1376666666667,1.786,0.622137948262588,"EAF"
"6_14","3837",23.861,1.85466666666667,15.1383333333333,1.75,0.487785709020415,"EAF"
"6_14","3838",23.236,1.879,13.626,1.802,0.772860770073427,"EAF"
"6_14","3839",23.988,1.84666666666667,15.6583333333333,1.786,0.380693675037683,"EAF"
"6_14","3843",23.369,1.916,14.2086666666667,1.773,0.592469017973783,"EAF"
"6_14","3850",22.3186666666667,1.86066666666667,13.6756666666667,1.73366666666667,0.423288794572058,"EAF"
"6_14","910",23.768,1.90933333333333,14.0503333333333,1.77766666666667,0.841082194603392,"EAF"
"6_15","20000",23.91,1.89966666666667,13.8816666666667,1.812,1,"EAF"
"6_15","219",24.186,1.883,15.535,1.779,0.459445978109539,"EAF"
"6_15","3126",23.859,1.91866666666667,15.018,1.74,0.51549314544754,"EAF"
"6_15","3288",24.1426666666667,1.89133333333333,14.8913333333333,1.77033333333333,0.651541065450446,"EAF"
