offspring,mother,father,prob,SexEstimate,LayYear,MumLayYear,DadLayYear
1434,880,,0.9973,0,1999,1995,
1435,853,865,1,1,1999,1994,1994
1436,524,,0.995,0,1999,1993,
1437,479,,0.8818,0,1998,1992,
1438,1155,1154,1,0,1999,1996,1996
1439,932,,0.892,0,1999,1994,
1440,1177,,0.932,1,1999,1996,
1441,915,1412,0.9994,1,1999,1994,1998
1486,601,506,0.9999,1,1999,1993,1993
1487,914,1040,0.9908,0,1999,1994,1995
1488,628,1215,1,1,1999,1993,1997
1489,1042,,0.9989,1,1999,1996,
1491,169,890,0.854,0,1999,1988,1995
1492,542,544,1,1,1999,1993,1993
1493,835,1031,1,1,1999,1994,1996
1494,845,1276,1,1,1999,1994,1996
1495,1200,1156,1,1,1999,1996,1996
1496,1160,1047,1,1,1999,1996,1996
1497,1304,668,0.9985,1,1999,1997,1994
1498,666,,0.9999,1,1999,1993,
1499,670,1381,0.9817,1,1999,1993,1997
1500,442,609,0.9997,1,1999,1992,1993
1501,826,,0.9919,0,1998,1994,
1502,1517,,0.9891,0,1999,1998,
1503,1186,1184,0.9999,0,1999,1996,1996
1504,1404,,0.9993,1,1999,1997,
1506,1200,1156,0.9995,0,1999,1996,1996
1507,1271,,0.9301,0,1999,1996,
1508,168,1045,1,0,1999,1989,1996
1509,925,1287,1,1,1999,1994,1998
1510,1247,1020,0.9997,0,1999,1996,1995
1511,840,597,1,0,1999,1994,1994
1512,951,1196,1,1,1999,1995,1996
1513,1244,,0.9996,0,1999,1997,
1514,1059,,0.9995,1,1999,1996,
1515,444,1166,1,1,1999,1992,1996
1516,1437,1279,0.9992,0,1999,1998,1996
1518,1401,1185,1,0,1999,1997,1996
1519,912,922,0.9998,1,1999,1994,1994
1520,502,,0.8785,1,1999,1993,
1521,826,1213,0.9977,1,1999,1994,1997
1522,1409,1209,1,1,1999,1998,1997
1523,949,557,1,1,1999,1995,1993
1524,938,,1,1,1999,1994,
1525,1432,,0.991,0,1999,1999,
1526,504,1187,0.9875,1,1999,1993,1996
1529,1403,849,0.9996,1,1999,1997,1994
1530,1410,436,1,0,1999,1998,1992
1531,949,557,1,0,1999,1995,1993
1532,596,,0.9999,0,1999,1993,
1533,677,,0.9998,1,1999,1993,
1535,168,,0.9993,1,1999,1989,
1536,1017,1018,1,0,1999,1992,1995
1537,825,1286,0.997,0,1999,1994,1997
1538,459,,0.9973,0,1999,1992,
1539,459,,0.9999,1,1999,1992,
1541,459,1290,1,0,1999,1992,1998
1543,199,609,0.9997,1,1999,1986,1993
1545,1432,1187,0.9997,1,1999,1999,1996
1547,1024,676,0.9998,0,1999,1995,1993
1548,1024,676,1,0,1999,1995,1993
1549,1042,176,1,1,1999,1996,1988
1551,869,,1,1,1999,1995,
1552,1369,1032,1,0,1999,1997,1996
1555,199,609,0.9991,0,1999,1986,1993
1556,1369,1032,1,1,1999,1997,1996
1557,604,921,1,1,1999,1993,1994
1558,466,51,1,0,1999,,1986
1559,458,499,1,0,1999,1992,1993
1560,823,,0.9987,0,1999,1994,
1561,1386,,0.994,0,1999,1997,
1562,522,,1,0,1999,1993,
1563,450,,0.9997,0,1999,1992,
1564,297,,0.8897,1,1999,1988,
1565,1160,,0.9899,1,1999,1996,
1566,1160,,1,1,1999,1996,
1568,663,,0.9999,0,1999,1993,
1570,627,,1,1,1999,1994,
1571,1042,176,0.9996,0,2000,1996,1988
1574,308,,0.9949,1,2000,1990,
1575,1186,,0.9992,0,2000,1996,
1582,1161,,0.9984,1,2000,1996,
1583,951,1196,0.9979,1,2000,1995,1996
1585,595,495,0.9986,1,2000,1993,1993
1586,503,1214,0.9999,0,2000,1993,1997
1590,826,,0.9678,1,2000,1994,
1594,1415,1165,1,1,2000,1998,1996
1596,168,1045,1,1,2000,1989,1996
1599,1501,890,0.9961,0,2000,1998,1995
1600,524,,0.9974,1,2000,1993,
1601,925,1287,1,1,2000,1994,1998
1602,912,,0.9929,1,2000,1994,
1613,845,1276,0.9999,0,2001,1994,1996
1618,832,,0.9996,1,2001,1994,
1619,1436,,0.9999,0,2001,1999,
1620,823,1268,0.9998,1,2001,1994,1998
1621,1017,1018,0.9998,0,2001,1992,1995
1622,1193,,0.9728,1,2001,1996,
1661,840,,0.9576,1,2002,1994,
1663,1490,1031,1,1,2001,1999,1996
1664,1490,1031,1,0,2002,1999,1996
1668,1541,,0.9421,1,2002,1999,
1671,459,1670,1,1,2002,1992,2001
1673,1409,,0.9944,0,2001,1998,
1674,1573,,0.8148,0,2001,2000,
1678,1588,1581,0.9939,0,2002,2000,2000
1679,1588,1581,0.9987,1,2002,2000,2000
1680,845,1276,0.9994,1,2002,1994,1996
1681,845,1276,1,1,2001,1994,1996
1684,1222,,0.9959,1,2000,1997,
1685,1049,,0.9554,0,2002,1996,
1698,1552,1504,0.9993,1,2001,1999,1999
1699,1552,1504,0.9823,1,2002,1999,1999
1701,595,,0.9925,0,2001,1993,
1703,1244,1213,0.9708,0,2002,1997,1997
1704,951,1196,0.9997,0,2002,1995,1996
1705,912,1348,0.9995,0,2002,1994,1998
1706,1186,,1,1,2001,1996,
1708,1438,,0.9995,1,2001,1999,
1709,1049,1608,0.9997,1,2001,1996,2000
1710,524,,0.9991,1,2002,1993,
1711,1158,,1,1,2001,1996,
1713,1672,1533,1,1,2002,2001,1999
1715,1043,,0.9904,0,2001,1995,
1716,1043,,0.8934,0,2002,1995,
1723,1550,,1,1,2002,1999,
1733,840,,0.999,0,2002,1994,
1737,1598,,0.9995,1,2002,2000,
1738,862,1579,0.8991,1,2002,1994,2000
1740,840,,0.999,0,2001,1994,
1741,1559,,0.9998,0,2002,1999,
1742,1510,,0.995,1,2002,1999,
1743,1415,1666,0.9916,1,2002,1998,2001
1746,869,,0.9747,0,2002,1995,
1747,826,1590,0.9999,1,2002,1994,2000
1749,1674,1029,1,1,2002,2001,1996
1751,1429,,0.8898,1,2001,1999,
1752,1200,1553,0.9995,1,2002,1996,1999
1755,1247,1020,0.9953,1,2002,1996,1995
1758,1757,1523,0.9995,0,2002,2001,1999
1762,927,501,0.9984,1,2002,1994,1994
1764,1222,1684,1,0,2003,1997,2000
1766,1415,1666,0.9999,1,2003,1998,2001
1767,930,1485,1,1,2002,1994,1998
1768,1361,,0.9943,1,2003,1998,
1769,1024,,0.9955,1,2003,1995,
1770,1024,,0.9962,1,2003,1995,
1776,1510,,0.9989,0,2002,1999,
1777,1017,1018,1,1,2003,1992,1995
1778,951,1196,0.9995,0,2002,1995,1996
1783,1305,1595,1,1,2003,1998,2000
1785,1155,453,0.9988,1,2002,1996,1992
1788,1401,1551,1,1,2002,1997,1999
1790,1403,,0.8464,0,2002,1997,
1793,1275,,0.8948,1,2002,1998,
1798,1588,1581,0.9999,0,2003,2000,2000
1799,869,1682,1,1,2002,1995,2001
1801,845,1276,1,1,2002,1994,1996
1803,1580,1040,0.9999,0,2002,2000,1995
1804,1532,911,1,1,2003,1999,1994
1805,1193,1590,0.9986,0,2003,1996,2000
1807,1271,1593,0.9972,0,2002,1996,2000
1808,1403,849,0.9999,1,2003,1997,1994
1819,1355,1802,0.9977,1,2003,1997,2002
1820,1700,1221,1,1,2003,2001,1997
1825,1506,,0.9519,0,2003,1999,
1826,1536,1787,0.9998,0,2003,1999,2002
1828,1508,1754,0.9996,0,2003,1999,2001
1829,1190,1489,1,1,2003,1996,1999
1830,1271,,0.9997,0,2003,1996,
1831,1757,1523,0.9999,1,2003,2001,1999
1833,1559,,1,0,2003,1999,
1843,1490,,0.9998,1,2003,1999,
1846,1244,,0.9997,1,2003,1997,
1847,1763,1287,1,0,2003,2002,1998
1848,1059,,0.9976,1,2003,1996,
1849,601,506,0.9989,0,2003,1993,1993
1850,601,506,1,0,2003,1993,1993
1851,1195,,0.9887,0,2002,1996,
1852,1247,,0.9978,0,2003,1996,
1853,1771,1187,1,0,2003,2001,1996
1854,1771,1187,1,0,2003,2001,1996
1855,442,1543,0.9973,0,2003,1992,1999
1856,1753,1349,1,1,2003,2002,1998
1857,1753,1349,1,0,2003,2002,1998
1858,825,1611,1,1,2003,1994,2000
1864,1503,,0.9999,0,2003,1999,
1865,458,,0.9555,0,2003,1992,
1867,1674,1029,1,1,2003,2001,1996
1868,1384,,1,1,2003,1998,
1869,832,1604,0.9998,1,2003,1994,2000
1870,1892,,0.9674,0,2003,2001,
1873,1550,,0.9997,0,2003,1999,
1874,1669,1213,0.9996,1,2003,2001,1997
1878,862,,0.9966,1,2001,1994,
1879,1501,1606,0.9996,0,2003,1998,2000
1883,1275,1587,0.9885,1,2003,1998,1999
1884,1580,,0.8391,1,2003,2000,
1885,1024,1770,0.9399,0,2003,1995,2003
1887,1429,,0.9951,1,2003,1999,
1891,1541,,0.9702,0,2002,1999,
1894,503,1214,1,1,2002,1993,1997
1895,912,1348,1,0,2003,1994,1998
1896,1305,1595,0.9999,1,2003,1998,2000
1897,927,501,1,1,2003,1994,1994
2960,1369,1744,0.9989,1,2003,1997,2001
2962,1763,1287,1,1,2004,2002,1998
2963,1672,1533,0.9998,0,2003,2001,1999
2965,1559,,0.9755,1,2004,1999,
2966,1605,497,0.9742,1,2004,2000,1993
2968,459,,0.9965,0,2003,1992,
2969,1781,,0.8164,1,2004,2002,
2971,1612,1199,0.9993,0,2004,2000,1996
2974,1716,1769,0.9742,1,2004,2002,2003
2975,1532,911,0.9965,0,2004,1999,1994
2979,1674,,0.9941,1,2004,2001,
2980,1758,,0.8574,1,2004,2002,
2982,1491,,0.9505,0,2003,1999,
2983,1672,1533,0.9999,0,2003,2001,1999
2985,1765,921,1,0,2003,2002,1994
2986,869,453,0.9954,0,2004,1995,1992
2988,930,1485,0.9976,1,2004,1994,1998
2990,1042,,0.9944,1,2004,1996,
2991,832,,0.9999,1,2003,1994,
3001,1725,1610,0.984,1,2004,2001,2000
3002,1782,1495,0.9999,0,2003,2002,1999
3003,1852,,0.9794,0,2004,2003,
3004,1193,1590,0.9945,0,2004,1996,2000
3005,1437,,0.9676,1,2004,1998,
3006,1170,,0.9963,0,2004,1997,
3008,1605,497,0.9957,1,2004,2000,1993
3009,1705,1750,0.9999,0,2004,2002,2002
3010,1740,1729,1,0,2004,2001,2001
3011,1401,1788,0.9999,1,2004,1997,2002
3012,1247,335,0.9975,0,2004,1996,2003
3013,595,1499,0.9826,1,2004,1993,1999
3014,503,1214,0.9977,1,2004,1993,1997
3015,1510,1723,0.9999,1,2004,1999,2002
3016,1589,,0.9973,0,2004,2000,
3017,1415,1666,0.9848,0,2004,1998,2001
3018,1854,1029,1,0,2004,2003,1996
3019,1042,,0.9901,1,2004,1996,
3020,1772,1729,0.9995,1,2004,2003,2001
3021,1558,1699,0.9998,1,2004,1999,2002
3023,1605,,0.9139,0,2004,2000,
3024,1791,1509,1,1,2004,2002,1999
3085,1763,1287,0.9998,0,2004,2002,1998
3087,1753,1775,0.9999,1,2004,2002,2002
3088,1429,1886,1,1,2004,1999,2002
3089,1617,,0.9536,1,2004,2000,
3090,1673,,0.9779,0,2004,2001,
3091,1665,1623,0.9997,0,2004,2002,2001
3092,1892,1356,0.9238,0,2004,2001,1997
3093,1852,1358,0.9999,1,2004,2003,1998
3094,1891,,0.9508,0,2004,2002,
3444,1764,1711,1,0,2004,2003,2001
3445,1605,497,0.9999,1,2005,2000,1993
3446,2982,,0.9256,0,2005,2003,
3447,1501,,0.9771,1,2005,1998,
3448,2984,501,1,1,2005,2003,1994
3450,1506,1720,1,0,2005,1999,2001
3451,2987,1739,0.9223,0,2005,2003,2002
3452,1361,,0.9976,1,2005,1998,
3453,2959,,0.917,0,2004,2002,
3455,1697,1796,0.9991,0,2005,2002,2002
3456,1580,,0.9814,1,2004,2000,
3457,1717,1797,0.8905,1,2005,2001,2002
3459,1275,,1,1,2005,1998,
3460,1725,,0.8642,1,2005,2001,
3461,1403,,0.913,0,2005,1997,
3463,1778,1607,0.9966,1,2004,2002,2001
3464,1778,1607,0.998,1,2004,2002,2001
3486,1705,,0.9892,1,2005,2002,
3489,1503,,1,1,2005,1999,
3490,1501,,0.9923,0,2005,1998,
3491,1605,497,0.9984,0,2005,2000,1993
3497,1705,1750,0.9995,0,2005,2002,2002
3498,2985,1752,1,0,2005,2003,2002
3499,1716,2976,0.9999,0,2005,2002,2003
3501,1437,,0.999,0,2005,1998,
3502,1895,1754,0.9999,0,2005,2003,2001
3503,1536,1787,0.9997,0,2005,1999,2002
3504,930,1485,0.9989,1,2005,1994,1998
3505,1580,1040,0.9992,0,2005,2000,1995
3506,1559,,0.9999,0,2005,1999,
3508,1597,1794,1,0,2004,2000,2002
3510,1415,,0.9013,0,2005,1998,
3511,1195,,0.9764,1,2005,1996,
3513,1042,3019,0.9001,0,2005,1996,2004
3514,1821,1504,0.9992,0,2005,2002,1999
3515,1369,1744,0.8671,1,2005,1997,2001
3516,1790,1731,1,0,2005,2002,2002
3517,1828,1848,0.9989,0,2005,2003,2003
3520,1388,1611,0.9984,0,2005,1998,2000
3521,1415,,0.9821,1,2005,1998,
3564,1685,1608,0.9993,1,2005,2002,2000
3565,1782,1881,0.9983,1,2005,2002,2003
3567,1757,1523,0.988,0,2004,2001,1999
3568,1782,1881,1,0,2005,2002,2003
3569,3085,1287,0.8099,0,2005,2004,1998
3572,1506,1720,0.9999,1,2005,1999,2001
3575,1824,1795,1,1,2005,2003,2002
3576,1864,,0.9996,1,2005,2003,
3577,3022,1829,0.9998,1,2005,2004,2003
3578,1685,1608,1,1,2005,2002,2000
3579,1536,,0.9995,0,2005,1999,
3580,1854,1029,1,0,2005,2003,1996
3581,1200,1553,0.9998,0,2005,1996,1999
3590,2963,,0.9996,0,2005,2003,
3591,1532,911,0.9201,0,2005,1999,1994
3592,2963,,0.9998,0,2005,2003,
3593,1893,,0.9991,1,2005,2001,
3594,1740,1187,1,0,2005,2001,1996
3595,1893,,0.9973,0,2005,2001,
3596,1401,1877,0.9992,0,2005,1997,2003
3597,1170,3089,0.9825,0,2005,1997,2004
3598,1438,1708,0.9994,0,2005,1999,2001
3599,1697,1796,0.9867,1,2005,2002,2002
3600,1760,1829,0.9999,1,2005,2001,2003
3602,1193,1590,0.9983,1,2005,1996,2000
3603,1559,2960,0.9962,0,2005,1999,2003
3604,1725,,0.9883,0,2005,2001,
3605,1195,1871,0.9999,0,2005,1996,2003
3606,3003,,0.9787,0,2005,2004,
3607,2984,2960,0.9989,1,2005,2003,2003
3608,1705,1750,0.9998,0,2005,2002,2002
3611,3508,,0.9999,0,2005,2004,
3612,3009,1742,0.9997,1,2005,2004,2002
3613,3508,,0.9996,0,2005,2004,
3614,1757,,0.9933,1,2005,2001,
3615,1857,1606,1,1,2005,2003,2000
3616,1763,1287,0.9999,0,2005,2002,1998
3617,1827,1783,1,1,2005,2002,2003
3619,1429,1886,0.9999,1,2005,1999,2002
3641,919,,0.9973,0,2005,1994,
3642,1891,,0.9988,1,2005,2002,
3643,1665,1623,1,1,2005,2002,2001
3644,1580,,0.996,1,2005,2000,
3645,1576,1512,0.9998,0,2005,2000,1999
3646,1790,,0.9961,0,2005,2002,
3647,2989,,0.9408,1,2005,2004,
3648,1851,1199,0.9999,0,2005,2002,1996
3649,1821,1504,0.9997,0,2005,2002,1999
3651,1678,1412,1,1,2005,2002,1998
3652,1024,1616,0.9992,0,2005,1995,2000
3653,3094,1867,0.9383,0,2005,2004,2003
3688,1791,1509,1,0,2005,2002,1999
3689,1605,,0.9998,1,2005,2000,
3691,1043,,0.9845,0,2005,1995,
3692,1672,1533,1,0,2005,2001,1999
3695,1437,,0.9964,0,2005,1998,
3697,1753,,0.9999,1,2005,2002,
3699,2968,1769,0.9999,0,2005,2003,2003
3700,1678,1412,0.9999,0,2005,2002,1998
3701,1043,1682,1,0,2005,1995,2001
3742,3134,929,0.8019,1,1997,1996,1994
3754,840,,0.9964,0,1997,1994,
3755,3134,,0.9278,0,1997,1996,
3758,925,,0.9986,0,1997,1994,
3761,1235,1039,0.9874,1,1997,1996,1995
3766,500,494,0.9995,0,1997,1991,1990
3785,827,176,0.9994,1,1997,1994,1988
3793,1173,1041,0.9985,0,1997,1996,1995
3794,853,,0.9994,0,1997,1994,
3810,530,637,0.9996,1,1997,1993,1993
3829,675,846,0.9996,0,1997,1993,1994
3831,1182,,0.9997,0,1997,1996,
3844,639,1028,0.9493,0,1998,1994,1995
3849,1043,1276,1,1,1998,1995,1996
3863,925,837,1,0,1998,1994,1994
3866,925,837,1,0,1998,1994,1994
3944,1190,1191,0.9286,1,1998,1996,1996
3946,774,1198,0.9996,0,1998,1994,1996
3964,912,922,1,1,1999,1994,1994
3976,840,597,1,1,1999,1994,1994
3986,924,220,1,0,1999,1994,1988
4017,447,,0.9987,0,1999,1992,
4042,522,1360,0.9999,0,1999,1993,1997
4057,833,,0.9997,0,1999,1994,
4086,938,,0.9988,1,1999,1994,
4255,454,,0.9657,1,1995,1992,
4258,825,,0.9125,,1996,1994,
4262,1043,1306,0.9976,1,1998,1995,1998
4266,912,1750,0.9983,,2004,1994,2002
4802,1155,1808,1,1,2005,1996,2003
4803,1042,2990,0.8053,0,2005,1996,2004
4804,3487,1543,0.9999,0,2006,2004,1999
4805,3487,1543,0.9998,1,2006,2004,1999
4829,912,1750,0.9997,1,2006,1994,2002
4854,1740,1187,0.9999,1,2006,2001,1996
4855,1605,497,0.9975,0,2006,2000,1993
4860,1821,1504,1,1,2006,2002,1999
4861,2989,,0.9701,0,2006,2004,
4862,1717,1797,0.9229,0,2005,2001,2002
4863,1429,1886,0.9997,0,2006,1999,2002
4866,3002,1581,0.9981,1,2005,2003,2000
4870,1536,,0.9997,0,2006,1999,
4871,1805,1774,0.9543,0,2006,2003,2002
4874,1763,2980,0.999,0,2006,2002,2004
4875,1857,1606,0.9991,0,2006,2003,2000
4876,1415,,0.9997,0,2006,1998,
4877,1503,3489,0.9887,0,2006,1999,2005
4879,3003,,0.9988,1,2006,2004,
4882,3086,,0.9995,0,2006,2004,
4883,1697,,0.8511,0,2006,2002,
4884,1697,,0.9987,1,2006,2002,
4885,1772,1729,1,0,2006,2003,2001
4886,2963,1709,1,1,2006,2003,2001
4887,1790,1731,0.9969,1,2006,2002,2002
4888,1895,1754,1,1,2006,2003,2001
4889,1740,1187,0.9996,1,2006,2001,1996
4890,1510,2966,0.9998,1,2006,1999,2004
4891,1852,3093,0.913,0,2006,2003,2004
4892,3505,1774,0.9874,1,2006,2005,2002
4893,845,1276,1,0,2006,1994,1996
4894,1244,,0.9992,1,2006,1997,
4895,1419,1795,1,1,2006,1999,2002
4896,1779,,0.8543,0,2006,2002,
4897,1824,,0.9921,1,2006,2003,
4898,869,453,0.9997,0,2006,1995,1992
4899,1782,,0.9969,0,2006,2002,
4900,1538,,0.9631,1,2006,1999,
4901,1024,1616,0.9993,0,2006,1995,2000
4902,1506,,0.993,1,2006,1999,
4903,1506,,0.995,1,2006,1999,
4904,1854,1029,0.9803,0,2006,2003,1996
4905,1821,1504,0.8273,0,2006,2002,1999
4906,1193,,0.9958,1,2006,1996,
4907,3507,1587,0.9995,0,2006,2004,1999
4908,1170,1524,1,0,2006,1997,1999
4910,3517,1593,0.9995,0,2006,2005,2000
4911,3517,1593,1,1,2006,2005,2000
4912,2963,,0.9959,0,2006,2003,
4914,1580,,0.9998,1,2006,2000,
4915,2963,,0.9915,1,2006,2003,
4917,1826,1499,0.994,0,2006,2003,1999
4919,1043,1682,0.9998,0,2006,1995,2001
4933,3453,,0.9993,1,2006,2004,
4934,3453,,0.9997,1,2006,2004,
