BloodID,BTN,TL,Objective,Whodunnit,ID,PlateID,BirdID,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,Ageclass,Status,BreedGroupID,TerritoryID,SexEstimate,MaxOfMaxOfSeenDate
577,1597,3699.738281,4,EB,792,39,3507,23.4,,13.2,,2004,37,1643,30/07/2005,A,BrF,742,144,0,09/02/2013
578,1598,4055.567697,4,EB,793,21,3507,23.4,,13.2,,2004,37,1643,30/07/2005,A,BrF,742,144,0,09/02/2013
577,1597,2087.691888,4,EB,791,20,3507,23.4,,13.2,,2004,37,1643,30/07/2005,A,BrF,742,144,0,09/02/2013
692,1723,4582.835318,7,EAF,2292,23,3604,24.5,,14.4,G,2005,37,1733,11/09/2005,CH,CH,744,155,0,01/02/2012
692,1723,6931.247304,6,EAF,1800,21,3604,24.5,,14.4,G,2005,37,1733,11/09/2005,CH,CH,744,155,0,01/02/2012
692,1723,5914.468826,6,EAF,1801,22,3604,24.5,,14.4,G,2005,37,1733,11/09/2005,CH,CH,744,155,0,01/02/2012
643,1663,9437.527916,6,EAF,1772,33,3577,25.7,,15.7,G,2005,37,1708,26/08/2005,CH,CH,747,167,1,09/12/2005
691,1722,7020.745117,6,EAF,1799,33,3606,22.4,,14.5,G,2005,37,1732,10/09/2005,CH,CH,755,179,0,06/08/2013
1836,4,4395.595338,4,EB,6,1,165,26.9,,17.0,,1989,49,541,01/05/1996,A,BrM,3551,301,1,22/01/1998
1821,26,5107.429184,4,EB,44,1,816,,,14.5,,,49,556,28/06/1996,,BrF,3540,299,0,23/01/1998
1814,2,3236.106998,4,EB,2,1,1065,25.2,,15.1,,1995,49,539,15/04/1996,A,BrM,3640,323,1,22/01/1998
1859,7,4188.479739,4,EB,14,1,1067,25.0,,14.5,,1995,49,543,08/05/1996,A,BrF,3632,320,0,31/12/1997
1860,8,3484.057666,4,EB,16,39,1068,25.4,,16.3,,1995,49,543,08/05/1996,A,BrM,3632,320,1,08/05/1996
1860,8,7407.929601,4,EB,15,1,1068,25.4,,16.3,,1995,49,543,08/05/1996,A,BrM,3632,320,1,08/05/1996
3006,1959,3302.190905,8,EAF,2478,19,1714,26.4,,17.5,RB,2002,73,2003,23/06/2006,A,BrM,4003,257,1,06/07/2007
3009,1962,6629.681647,8,EAF,2832,37,1873,24.6,,15.0,RB,2003,73,2003,23/06/2006,A,BrF,4011,266,0,25/07/2006
3031,1984,11468.84834,7,EAF,1953,29,1858,25.5,,16.7,RB,2003,73,2012,28/06/2006,A,BrM,4026,281,1,13/07/2009
3031,1984,9921.574828,7,EAF,1952,20,1858,25.5,,16.7,RB,2003,73,2012,28/06/2006,A,BrM,4026,281,1,13/07/2009
3004,1957,4709.171166,8,EAF,2477,16,1884,25.3,,17.4,RB,2003,73,2004,23/06/2006,A,BrM,4011,266,1,27/07/2010
3136,2145,9675.534623,7,EAF,1965,40,3486,26.4,,16.6,RB,2005,75,1896,03/08/2006,A,ABX,3760,1,1,15/09/2015
3093,2102,5675.34856,3,EB,910,1,3486,26.2,,16.0,LB,2005,75,1834,02/07/2006,SA,ABX,3760,1,1,15/09/2015
3142,2151,7552.409468,7,EAF,1967,29,4829,24.7,,14.4,G,2006,75,1830,22/06/2006,FL,OFL,3760,1,1,14/02/2010
3123,2132,4401.101934,8,EAF,2493,16,3520,24.4,,16.5,RB,2005,75,1880,26/07/2006,A,BrF,3761,2,0,26/07/2006
3102,2111,8331.212378,7,EAF,1957,44,2984,23.4,,13.5,RB,2003,75,1849,09/07/2006,A,BrF,3761,2,0,04/01/2009
3149,2158,5993.724599,4,EB,942,31,2980,24.9,,15.1,RB,2004,75,1906,07/08/2006,A,BrM,3762,3,1,08/01/2008
3138,2147,5228.425291,4,EB,936,31,3085,23.5,,15.0,RB,2004,75,1906,07/08/2006,A,H,3762,3,0,21/08/2015
3147,2156,4949.476631,8,EAF,2838,33,4874,22.7,,13.9,G,2006,75,1906,07/08/2006,OFL,OFL,3762,3,0,09/09/2007
3175,2184,7289.125384,6,EAF,1545,34,4882,22.4,,13.5,G,2006,75,1915,12/08/2006,CH,FL,3762,3,0,19/01/2008
3106,2115,3052.459634,2,EB,918,14,911,25.0,,17.0,RB,1994,75,1861,14/07/2006,A,BrM,3763,4,1,08/09/2010
3107,2116,3995.979883,6,EAF,1524,25,1804,,,,RB,2003,75,1859,13/07/2006,A,ABX,3763,4,1,28/08/2008
3090,2099,6218.927464,7,EAF,1954,25,1740,25.1,,15.5,RB,2001,75,1835,02/07/2006,A,BrF,3764,5,0,24/01/2009
3090,2099,4933.222723,7,EAF,1955,26,1740,25.1,,15.5,RB,2001,75,1835,02/07/2006,A,BrF,3764,5,0,24/01/2009
3091,2100,6593.43821,2,EB,907,9,1187,26.4,,16.5,RB,1996,75,1834,02/07/2006,A,BrM,3764,5,1,05/09/2010
3092,2101,5158.757509,3,EB,908,1,3594,26.4,,16.0,LB,2005,75,1834,02/07/2006,SA,H,3764,5,0,18/08/2015
3092,2101,5951.797716,3,EB,909,88,3594,26.4,,16.0,LB,2005,75,1834,02/07/2006,SA,H,3764,5,0,18/08/2015
3097,2106,7472.253071,3,EB,913,1,4854,25.8,,,G,2006,75,1834,02/07/2006,FL,OFL,3764,5,1,07/02/2013
