BloodID,CqGAPDH,U_PlateID,CqTelomere,EffGAPDH,EffTelomere,RTL,ID,Whodunnit,BirdID,Ageclass,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,TerritoryID,Status,BreedGroupID,SexEstimate,MaxOfMaxOfSeenDate
2476,26.7605,8_21,17.8165,1.9295,1.8305,2.937911218,764,EAF,1240,SA,24.6,24.4,13.7,,1996,22,749,18/08/1997,120,BrF,2307,0,18/08/1997
2545,23.6015,8_9,15.1015,1.8835,1.7655,2.227292197,1313,EAF,1181,FL,26.7,26.6,14.9,,1997,22,693,14/07/1997,132,FL,96,1,15/03/1998
2430,24.0795,8_14,16.675,1.9195,1.8345,1.327236728,613,EAF,1208,CH,23.6,23.5,14.6,,1997,22,726,01/08/1997,137,FL,99,0,01/08/1997
2455,23.2325,7_38,15.5115,1.923,1.838,1.072176746,330,EAF,1043,A,24.8,,15.0,,1995,22,737,09/08/1997,165,BrF,111,0,15/02/2010
2569,22.135,7_37,15.85,1.8115,1.7365,0.461494984,311,EAF,1185,A,26.3,26.6,15.5,,1996,22,704,22/07/1997,166,SEEN1,112,1,29/08/1999
2570,23.7695,8_7,17.3505,1.991,1.832,0.616064104,1270,EAF,605,A,26.4,26.1,16.0,,1993,22,704,22/07/1997,168,BrM,114,1,30/08/1998
2569,22.135,7_37,15.85,1.8115,1.7365,0.461494984,311,EAF,1185,A,26.3,26.6,15.5,,1996,22,704,22/07/1997,168,SEEN1,114,1,29/08/1999
2508,26.02,7_45,19.3775,1.9425,1.8185,0.56333636,463,EAF,1154,A,25.8,26,,,1996,22,680,08/07/1997,169,BrM,115,1,02/08/1999
2459,23.111,8_10,15.592,1.961,1.8565,1.081115779,525,EAF,1042,A,25.3,25.2,14.6,,1996,22,674,06/07/1997,171,SEEN1,116,0,30/06/2015
2408,22.94,7_42,14.639,2.021,1.8665,1.047260322,401,EAF,1042,A,25.3,25.4,,,1996,22,715,26/07/1997,171,SEEN1,116,0,30/06/2015
2600,23.4485,7_37,16.2215,1.896,1.8115,0.808077668,312,EAF,1031,SA,26.4,26.2,16.4,,1996,23,771,18/01/1998,26,SEEN1,132,1,09/03/2010
2616,23.914,7_39,15.8815,1.902,1.824,1.000309201,353,EAF,1286,J,25.0,24.9,14.0,,1997,23,779,05/02/1998,32,FL,2314,1,20/08/1999
2592,23.5185,8_9,16.5855,1.908,1.7815,0.9071348,1315,EAF,1273,A,23.7,23.7,14.5,,1996,23,766,10/01/1998,59,SEEN1,143,1,13/01/1998
2599,23.3845,8_6,15.743,1.8855,1.8455,1.210674111,1248,EAF,1275,FL,24.6,24.3,13.8,,1998,23,770,17/01/1998,59,FL,143,0,22/07/2005
2650,23.587,8_7,15.6405,1.942,1.8135,1.525182816,1271,EAF,1306,OFL,22.5,22.6,13.6,,1998,23,804,20/03/1998,67,FL,146,1,22/08/1999
2600,23.4485,7_37,16.2215,1.896,1.8115,0.808077668,312,EAF,1031,SA,26.4,26.2,16.4,,1996,23,771,18/01/1998,89,SEEN1,158,1,09/03/2010
2502,23.771,8_18,15.8365,1.934,1.831,1.548808339,701,EAF,1262,FL,26.0,25.8,13.9,,1997,23,769,16/01/1998,89,FL,158,1,18/01/1999
2643,23.7765,8_1,16.2255,1.876,1.8015,1.005954386,500,EAF,1301,A,26.3,26.2,14.6,,1996,23,795,08/03/1998,104,SEEN1,165,1,24/03/1998
2644,24.0845,8_8,16.859,1.961,1.8325,0.824949566,1289,EAF,1302,OFL,26.9,26.8,13.2,,1998,23,796,10/03/1998,104,OFL,165,1,10/03/1998
2635,22.9185,8_19,15.2825,1.9765,1.7895,0.983421505,724,EAF,1296,OFL,25.6,25.6,12.0,,1998,23,791,02/03/1998,105,OFL,166,1,02/03/1998
2635,23.3915,8_15,16.7825,1.8885,1.798,1.057908203,637,EAF,1296,OFL,25.6,25.6,12.0,,1998,23,791,02/03/1998,105,OFL,166,1,02/03/1998
2765,23.7755,7_37,15.7005,1.935,1.834,1.361609016,313,EAF,1407,CH,21.0,,13.2,,1998,25,880,20/09/1998,2,XF,188,1,20/09/1998
2716,23.462,8_8,17.7245,1.923,1.845,0.321344375,1290,EAF,1392,A,24.1,24,13.5,,1997,25,860,23/08/1998,4,BrF,190,0,08/08/1999
2661,23.2385,8_19,16.094,1.9315,1.7955,0.754828719,725,EAF,859,A,24.2,24.2,,,1994,25,816,18/07/1998,15,BrF,198,0,19/08/1999
2712,24.174,7_36,16.7165,1.8955,1.861,0.954398785,290,EAF,1387,CH,24.4,24.2,15.6,,1998,25,858,22/08/1998,16,XF,199,0,03/07/2001
2705,23.0975,8_14,15.951,1.9125,1.859,1.102788697,614,EAF,1152,SA,24.8,24.6,14.6,,1997,25,855,18/08/1998,42,H,214,0,27/07/2002
2709,24.59,7_36,17.2995,1.858,1.8215,0.87203477,289,EAF,1390,CH,,, 8.0,,1998,25,856,19/08/1998,53,XF,221,0,12/08/2003
