"BloodID","TL","BTN","Whodunnit","Objective","PlateID"
"4087",2598.005286,"3180","EB",NA,NA
"3828",2599.119599,"2650","EB",NA,NA
"4306",2606.719292,"3284","EB",NA,NA
"4306",2606.719292,"3284","EB",NA,NA
"759",2613.080043,"531","EB",NA,NA
"759",2613.080043,"531","EB",NA,NA
"4314",2623.42045,"3289","EB",NA,NA
"4090",2639.147507,"3185","EB",NA,NA
"4186",2639.770672,"3073","EB",NA,NA
"3496",2640.833224,"2480","EB",NA,NA
"3496",2640.833224,"2480","EB",NA,NA
"713",2657.446515,"465","EB",NA,NA
"713",2657.446515,"465","EB",NA,NA
"4271",2661.700334,"3253","EB",NA,NA
"768",2662.6105,"541","EB",NA,NA
"3855",2669.751112,"2703","EB",NA,NA
"3855",2669.751112,"2703","EB",NA,NA
"796",2671.212204,"573","EB",NA,NA
"796",2671.212204,"573","EB",NA,NA
"461",2671.851665,"1473","EB",NA,NA
"3994",2672.57219,"3046","EB",NA,NA
"4300",2673.749291,"3283","EB",NA,NA
"603",2682.255754,"1623","EB",NA,NA
"603",2682.255754,"1623","EB",NA,NA
"914",2689.11164,"705","EB",NA,NA
"3963",2696.064567,"3020","EB",NA,NA
"3788",2696.457076,"2472","EB",NA,NA
"4277",2739.132682,"3245","EB",NA,NA
"3841",2739.884004,"2677","EB",NA,NA
"4128",2740.86563,"3233","EB",NA,NA
"3744",2749.34073,"2588","EB",NA,NA
"4187",2753.790762,"3074","EB",NA,NA
"4000",2758.688554,"2995","EB",NA,NA
"4000",2758.688554,"2995","EB",NA,NA
"3831",2759.954792,"2661","EB",NA,NA
"3831",2759.954792,"2661","EB",NA,NA
"4073",2760.788227,"3166","EB",NA,NA
"1006",2761.03201,"857","EB",NA,NA
"1006",2761.03201,"857","EB",NA,NA
"3919",2768.728087,"2796","EB",NA,NA
"3740",2795.250779,"2591","EB",NA,NA
"4313",2799.384665,"3288","EB",NA,NA
"3228",2803.89946,"2237","EB",NA,NA
"605",2804.073186,"1625","EB",NA,NA
"2911",2809.694117,"1871","EB",NA,NA
"4005",2810.112298,"3138","EB",NA,NA
"3741",2817.252291,"2598","EB",NA,NA
"907",2832.134757,"698","EB",NA,NA
"872",2835.719113,"663","EB",NA,NA
"867",2836.450523,"650","EB",NA,NA
"4071",2836.671674,"3164","EB",NA,NA
"3789",2845.207031,"2481","EB",NA,NA
"4004",2847.285478,"3137","EB",NA,NA
"4013",2856.565331,"3139","EB",NA,NA
"72",2869.54549,"1071","EB",NA,NA
"3697",2875.053466,"2510","EB",NA,NA
"239",2879.494438,"1243","EB",NA,NA
"239",2879.494438,"1243","EB",NA,NA
"4064",2887.234486,"3158","EB",NA,NA
"4091",2890.559607,"3182","EB",NA,NA
"4133",2892.693624,"3238","EB",NA,NA
"2199",2893.551852,"150","EB",NA,NA
"576",2903.370902,"1596","EB",NA,NA
"3341",2906.85477,"2350","EB",NA,NA
"4008",2912.814094,"2991","EB",NA,NA
"4008",2912.814094,"2991","EB",NA,NA
"2300",2914.231833,"41","EB",NA,NA
"3477",2919.198178,"2484","EB",NA,NA
"4063",2921.972121,"3157","EB",NA,NA
"2492",2923.658863,"2","EB",NA,NA
"2492",2923.658863,"2","EB",NA,NA
"2492",2923.658863,"2","EB",NA,NA
"2492",2923.658863,"2","EB",NA,NA
"3881",2925.171456,"2747","EB",NA,NA
"3955",2929.474511,"3005","EB",NA,NA
"3680",2938.182144,"2387","EB",NA,NA
"3866",2941.817093,"2728","EB",NA,NA
"3961",2941.957988,"3018","EB",NA,NA
"4155",2943.864497,"3050","EB",NA,NA
"4155",2943.864497,"3050","EB",NA,NA
"2935",2945.860648,"1895","EB",NA,NA
"3953",2947.193619,"3007","EB",NA,NA
"4165",2949.140572,"3066","EB",NA,NA
"3857",2954.10381,"2710","EB",NA,NA
"683",2958.890919,"1703","EB",NA,NA
"900",2959.955755,"691","EB",NA,NA
"4177",2961.377565,"3067","EB",NA,NA
"3665",2963.034049,"3121","EB",NA,NA
"279",2982.20395,"1283","EB",NA,NA
"448",2984.088163,"1459","EB",NA,NA
"448",2984.088163,"1459","EB",NA,NA
"3856",2984.943881,"2709","EB",NA,NA
"3096",3006.308551,"2105","EB",NA,NA
"4281",3011.705228,"3260","EB",NA,NA
"313",3015.475342,"1317","EB",NA,NA
"4167",3027.940607,"3062","EB",NA,NA
"2383",3029.870925,"6","EB",NA,NA
"2383",3029.870925,"6","EB",NA,NA
"4184",3037.251783,"3080","EB",NA,NA
"4122",3046.503081,"3227","EB",NA,NA
"3922",3046.78418,"2799","EB",NA,NA
"3922",3046.78418,"2799","EB",NA,NA
"3106",3052.459634,"2115","EB",NA,NA
"3867",3053.644452,"2735","EB",NA,NA
"4052",3057.576646,"3147","EB",NA,NA
"4060",3058.753876,"3149","EB",NA,NA
"4110",3060.62223,"3217","EB",NA,NA
"4110",3060.62223,"3217","EB",NA,NA
"4250",3066.80332,"3122","EB",NA,NA
"4135",3078.024648,"3240","EB",NA,NA
"127",3078.657386,"1126","EB",NA,NA
"149",3082.108236,"1148","EB",NA,NA
"149",3082.108236,"1148","EB",NA,NA
"3807",3088.052799,"2486","EB",NA,NA
"3168",3088.145989,"2177","EB",NA,NA
"3168",3088.145989,"2177","EB",NA,NA
"3818",3101.514333,"2499","EB",NA,NA
"3772",3104.515056,"2460","EB",NA,NA
"3772",3104.515056,"2460","EB",NA,NA
"1124",3108.581828,"974","EB",NA,NA
"703",3111.878081,"455","EB",NA,NA
"703",3111.878081,"455","EB",NA,NA
"3767",3142.683768,"2449","EB",NA,NA
"3195",3143.004753,"2204","EB",NA,NA
"3195",3143.004753,"2204","EB",NA,NA
"2345",3144.465246,"24","EB",NA,NA
"2345",3144.465246,"24","EB",NA,NA
"2361",3151.420319,"39","EB",NA,NA
"2361",3151.420319,"39","EB",NA,NA
"3566",3163.912635,"2774","EB",NA,NA
"3912",3164.937242,"2789","EB",NA,NA
"3912",3164.937242,"2789","EB",NA,NA
"3977",3175.959297,"3028","EB",NA,NA
"86",3187.393962,"1085","EB",NA,NA
"4249",3187.773511,"3123","EB",NA,NA
"4049",3194.709681,"2960","EB",NA,NA
"3916",3195.651869,"2785","EB",NA,NA
"288",3199.045204,"1292","EB",NA,NA
"397",3203.914084,"1408","EB",NA,NA
"864",3206.843763,"647","EB",NA,NA
"1023",3211.698312,"874","EB",NA,NA
"2523",3215.950552,"40","EB",NA,NA
"894",3216.369853,"685","EB",NA,NA
"3859",3224.749927,"2727","EB",NA,NA
"3178",3234.741788,"2187","EB",NA,NA
"1814",3236.106998,"2","EB",NA,NA
"4099",3238.46235,"3206","EB",NA,NA
"3846",3243.580094,"2683","EB",NA,NA
"3371",3250.692846,"2376","EB",NA,NA
"3371",3250.692846,"2376","EB",NA,NA
"3371",3250.692846,"2376","EB",NA,NA
"3893",3253.207322,"2768","EB",NA,NA
"3893",3253.207322,"2768","EB",NA,NA
"556",3262.331977,"1576","EB",NA,NA
"484",3267.08762,"1498","EB",NA,NA
"4080",3272.747472,"3173","EB",NA,NA
"3927",3273.647747,"2805","EB",NA,NA
"3927",3273.647747,"2805","EB",NA,NA
"4239",3282.415928,"3110","EB",NA,NA
"4267",3288.48296,"3247","EB",NA,NA
"1012",3288.658861,"863","EB",NA,NA
"1012",3288.658861,"863","EB",NA,NA
"2366",3290.81525,"43","EB",NA,NA
"2366",3290.81525,"43","EB",NA,NA
"3781",3293.733145,"2461","EB",NA,NA
"1005",3301.224112,"856","EB",NA,NA
"4287",3307.051705,"3257","EB",NA,NA
"4070",3312.703126,"3163","EB",NA,NA
"1049",3313.925339,"900","EB",NA,NA
"3689",3317.778467,"2388","EB",NA,NA
"3689",3317.778467,"2388","EB",NA,NA
"3909",3317.890214,"2769","EB",NA,NA
"399",3319.202718,"1410","EB",NA,NA
"399",3319.202718,"1410","EB",NA,NA
"3124",3321.394553,"2133","EB",NA,NA
"3845",3323.8355,"2680","EB",NA,NA
"3845",3323.8355,"2680","EB",NA,NA
"3842",3330.220528,"2678","EB",NA,NA
"4092",3331.078734,"3181","EB",NA,NA
"108",3336.425787,"1107","EB",NA,NA
"3861",3341.890783,"2725","EB",NA,NA
"128",3346.915541,"1127","EB",NA,NA
"912",3347.642266,"703","EB",NA,NA
"3698",3348.036453,"2509","EB",NA,NA
"3698",3348.036453,"2509","EB",NA,NA
"994",3361.774409,"845","EB",NA,NA
"893",3373.682417,"684","EB",NA,NA
"4265",3374.276203,"3263","EB",NA,NA
"940",3392.064052,"731","EB",NA,NA
"4198",3393.243706,"3088","EB",NA,NA
"3964",3399.716369,"3015","EB",NA,NA
"4192",3401.144189,"3083","EB",NA,NA
"871",3407.943039,"662","EB",NA,NA
"46",3416.383898,"1045","EB",NA,NA
"646",3417.83756,"1666","EB",NA,NA
"646",3417.83756,"1666","EB",NA,NA
"4021",3418.433316,"2982","EB",NA,NA
"275",3418.766993,"1279","EB",NA,NA
"286",3421.356779,"1290","EB",NA,NA
"414",3424.379067,"1425","EB",NA,NA
"727",3424.398446,"479","EB",NA,NA
"437",3427.961393,"1448","EB",NA,NA
"3950",3434.227999,"3009","EB",NA,NA
"3827",3446.193225,"2500","EB",NA,NA
"417",3446.374162,"1428","EB",NA,NA
"443",3449.618697,"1454","EB",NA,NA
"995",3465.02593,"846","EB",NA,NA
"323",3468.54771,"1328","EB",NA,NA
"3921",3473.069581,"2800","EB",NA,NA
"3777",3475.451895,"2462","EB",NA,NA
"3777",3475.451895,"2462","EB",NA,NA
