BreedGroupID,BirdID,Status
1017,2054,BrM
1018,2798,AB
1018,1991,BrF
1018,2831,BrM
1019,1993,BrM
1019,1992,BrF
1020,2059,FL
1020,2058,BrF
1020,2057,BrM
1021,2060,FL
1021,1995,BrF
1021,1994,BrM
1022,2061,FL
1022,1997,BrF
1022,1996,BrM
1023,2001,AB
1023,2000,BrF
1023,1999,BrM
1024,2063,BrF
1024,2062,BrM
1025,2065,BrF
1025,2064,BrM
1027,2832,BrF
1027,2066,BrM
1028,28,AB
1028,797,BrF
1028,2766,BrM
1029,2066,AB
1029,2067,AB
1029,789,BrF
1029,2752,BrM
1030,35,FL
1030,2006,AB
1030,2068,AB
1030,1901,BrF
1030,1900,BrM
1031,2008,BrF
1031,2764,BrM
1032,2833,BrF
1032,1686,BrM
1033,2070,BrF
1033,2069,BrM
1034,29,AB
1035,2860,AB
1035,2760,BrF
1035,2754,BrM
1036,788,BrF
1036,2011,BrM
1037,27,BrF
1037,795,BrM
3286,2012,AB
3286,2072,AB
3286,2749,BrF
3286,2071,BrM
1038,2075,AB
1038,2074,BrF
1038,2073,BrM
1039,2834,AB
1039,2076,BrF
1039,22,BrM
1040,1905,BrF
1040,1904,BrM
1041,1907,BrF
1041,2835,BrM
1042,1908,AB
1042,2795,BrF
1042,2733,BrM
1043,2014,BrF
1043,2755,BrM
1044,1687,BrF
1044,2077,BrM
1045,2814,BrF
1045,2015,BrM
1046,2738,BrF
1046,1909,BrM
1047,2836,BrF
1047,2837,BrM
1048,24,AB
1048,2817,BrF
1048,2763,BrM
1049,2018,BrF
1049,2756,BrM
1050,2759,BrF
1050,2019,BrM
1051,2080,AB
1051,2079,BrF
1051,2078,BrM
1052,2083,AB
1052,2082,BrF
1052,2081,BrM
1053,2084,AB
1053,2085,AB
1053,2757,BrF
1053,304,BrM
1054,1915,BrF
1054,2781,BrM
1055,1915,AB
1055,2086,AB
1055,1914,BrF
1055,1913,BrM
1056,1917,BrF
1056,1916,BrM
1057,1921,BrF
1057,1920,BrM
1058,1925,BrF
1058,1924,BrM
1059,2088,BrF
1059,2087,BrM
1060,1928,AB
1060,1927,BrF
1060,1926,BrM
1061,1929,BrM
1062,2089,BrF
1062,1931,BrM
3287,2822,AB
3287,2024,AB
3287,2025,AB
3287,2090,AB
3287,790,BrF
3287,426,BrM
1063,796,BrF
1063,2784,BrM
1064,1938,BrF
1064,1937,BrM
1065,2788,BrF
1065,2793,BrM
1066,2090,AB
1066,2091,AB
1066,1940,BrF
1066,1939,BrM
