offspring,mother,father,prob
1155,508,NA,0.636
1156,454,216,0.999
1157,454,221,1
1158,NA,881,0.981
1159,297,634,0.997
1160,450,629,1
1161,308,216,1
1162,500,494,1
1163,912,922,1
1164,502,293,0.999
1165,924,220,1
1166,NA,605,0.319
1167,450,629,1
1168,938,550,1
1169,558,557,1
1170,915,941,1
1171,542,547,0.999
1172,543,540,1
1173,677,673,0.997
1174,531,776,0.949
1175,641,637,1
1176,774,633,0.999
1177,NA,854,0.642
1178,NA,NA,0.438
1179,297,836,1
1180,938,547,0.973
1181,1182,851,1
1182,461,NA,0.655
1183,774,864,1
1184,604,1039,0.579
1185,862,854,0.993
1186,604,603,0.992
1187,596,497,1
1188,878,879,1
1189,NA,545,0.692
1190,942,331,0.996
1191,NA,633,0.918
1192,508,NA,0.624
1193,541,NA,0.626
1194,NA,1018,0.999
1195,NA,854,0.931
1196,522,1015,1
1197,675,846,1
1198,NA,642,0.977
1199,862,854,0.992
1200,878,453,0.998
1201,543,540,0.964
1202,469,467,1
1203,466,51,0.999
1204,876,824,0.487
1205,NA,331,0.999
1207,628,1041,0.921
1208,845,941,0.916
1209,458,867,1
1210,930,867,0.997
1211,NA,547,0.918
1212,NA,1039,0.47
1213,455,1212,1
1214,503,470,1
1215,1043,559,0.993
1216,308,216,0.999
1217,531,849,0.704
1218,NA,547,0.998
1219,458,1039,0.997
1220,524,634,1
1221,1246,868,1
1222,927,501,1
1223,1043,1276,0.849
1224,838,215,0.964
1225,635,636,1
1226,835,1165,0.999
1227,880,436,1
1228,826,1212,0.983
1229,500,494,1
1230,469,467,0.967
1231,915,941,1
1232,169,890,0.827
1233,666,916,1
1234,168,854,0.859
1235,NA,1039,0.963
1236,912,922,1
1237,561,51,1
1238,479,866,1
1239,442,868,0.999
1240,NA,642,0.958
1241,641,637,1
1242,774,633,0.995
1243,862,857,1
1244,NA,216,0.621
1245,774,857,0.962
1246,827,176,0.61
1247,NA,922,0.364
1248,912,922,1
1262,474,884,1
1267,297,1862,0.999
1268,931,1040,1
1269,679,NA,0.355
1270,1271,1395,0.999
1271,855,854,1
1272,855,854,0.997
1273,942,864,0.787
1274,560,NA,0.686
1275,608,510,1
1276,1182,851,1
1277,949,557,1
1278,171,602,1
1279,522,1174,1
1285,1218,544,0.999
1286,825,672,1
1287,441,1165,1
1288,635,636,0.999
1290,862,1198,1
1291,528,178,1
1292,1206,1176,0.915
1293,522,629,0.993
1294,1173,1041,1
1295,1403,849,1
1296,670,1211,1
1297,1017,1018,1
1298,1049,636,0.999
1299,1218,916,0.75
1300,1299,1028,0.999
1301,530,637,1
1302,641,637,1
1303,NA,636,0.898
1304,677,1168,0.931
1305,1177,854,0.988
1306,561,1178,1
1345,455,507,0.996
1346,NA,523,0.392
1347,NA,860,0.402
1348,930,495,1
1349,596,200,0.983
1355,168,884,1
1356,832,1041,1
1357,853,865,1
1358,1019,494,0.55
1359,444,1166,1
1360,630,1041,1
1361,628,1041,1
1362,199,609,1
