offspring,mother,father,prob
5171,1678,1412,1
5172,3022,3696,1
5173,845,3696,0.975
5174,3650,NA,0.438
5175,2978,1196,1
5194,1419,1795,0.837
5195,1740,1750,1
5196,1605,1499,0.998
5197,3085,1729,1
5198,3462,3093,1
5199,1763,1702,1
5204,3569,3456,1
5205,3604,1533,1
5209,3616,3456,0.898
5210,2989,1710,0.997
5212,1895,1754,1
5213,1491,1604,1
5215,1865,1802,0.991
5216,3595,3457,1
5217,3596,1579,0.996
5220,3517,1579,1
5224,4878,1742,1
5225,1438,1708,0.956
5226,3574,4866,1
5235,1669,1742,0.997
5236,2985,1752,1
5237,4896,2990,0.91
5240,3699,1808,1
5241,5162,1871,0.999
5242,3698,1877,1
5247,3608,1553,1
5248,5162,1579,1
5249,1782,1881,1
5254,1678,1412,1
5256,1195,1871,1
5260,3491,1523,1
5261,3641,3515,0.977
5262,1821,1504,1
5263,1824,3612,0.923
5265,1790,1731,1
5266,1170,1877,0.998
5267,3518,3454,1
5268,1438,1708,1
5269,3451,1801,1
5271,1614,4902,1
5272,2968,1577,0.962
5273,1536,4967,1
5275,1803,1356,1
5276,2963,1722,0.999
5277,4965,1616,1
5278,1558,1744,1
5279,1361,1698,1
5280,3505,3005,0.999
5281,3451,1801,1
5282,930,3519,1
5283,1717,1533,1
5284,3094,1739,0.996
5285,3606,1394,1
5286,1532,911,1
5287,1491,1604,0.999
5288,3606,1869,0.926
5289,1791,1729,1
5290,5079,1867,1
5291,1043,3696,1
5292,3022,1682,1
5293,3022,3696,0.938
5294,1757,1523,1
5312,1854,1029,1
5313,4964,1762,1
5314,1821,1504,1
5315,3449,4897,1
5316,1824,4967,1
5317,4973,1868,1
5318,4878,5165,0.749
5319,4868,1886,1
5320,5263,1795,0.835
5321,3453,1744,1
5322,3453,1744,0.964
5323,3002,1581,1
5324,3002,1581,1
5325,5075,5000,1
5326,4935,3486,1
5327,3086,4829,1
5332,1605,5071,0.787
5333,1857,3618,1
5334,3596,1722,0.772
5335,4896,2990,1
5336,1042,1577,1
5337,4936,1710,1
5338,1798,2974,1
5339,1826,1499,1
5340,3491,5169,1
5341,1854,1029,1
5342,2989,4887,1
5343,3086,1729,1
5418,4871,4860,1
5447,2989,1731,1
5448,1753,4860,1
5449,3604,1533,1
5450,3490,3615,1
5451,NA,5118,0.303
5452,3695,1869,1
5453,1763,1729,1
5454,3462,3093,1
5455,1765,1752,1
5456,4958,4888,1
5457,4883,3458,1
5458,3574,4866,1
5459,3606,1494,1
5460,4871,4860,1
5461,1438,1708,1
5462,1532,911,1
5463,3002,1886,1
5464,4935,3486,1
5465,3444,4887,1
5466,3002,1886,0.999
5473,2963,1196,1
5497,1438,1708,1
5498,4868,1886,0.997
5499,3451,1801,1
5507,3094,1553,0.999
5508,4896,2990,1
5509,5123,1577,0.859
5510,3490,3087,1
5511,4863,1762,0.996
5512,3500,1762,0.996
5513,4973,2990,0.985
5514,5320,1029,1
5515,2985,1897,1
5516,1864,1542,1
5517,5267,4829,1
5518,3590,1750,1
5519,5147,5159,1
5520,5155,5159,0.74
5521,4964,1607,1
5522,1757,1616,1
5523,1757,1616,1
5524,3608,1553,1
5525,5163,5072,1
5526,4941,3615,0.999
5527,4936,1710,0.999
5528,4960,4872,1
5529,3698,4872,0.758
5530,3594,5197,1
5531,4965,1616,1
5532,4965,1616,1
5533,1361,1698,1
5534,2963,3089,1
5535,2968,5240,1
5536,1763,3093,0.984
5537,1669,1881,0.987
5538,3567,1604,0.999
5539,4961,5167,0.999
5540,4965,1616,1
5541,1854,1543,1
5542,3569,2966,0.982
5543,4917,4860,1
5544,3497,1611,1
5545,2989,1710,1
5546,4936,1731,1
5547,5217,1869,0.992
5548,3444,1731,0.999
5549,5123,4934,1
5550,4896,1881,0.999
5551,3567,1604,1
5552,4883,1801,1
5553,4863,1762,1
5554,5268,2991,1
5555,4935,3454,1
5556,5160,4854,1
5557,3462,3093,1
5558,5217,1494,1
5559,1716,1877,0.999
5560,3698,1489,1
5561,3517,5333,1
5562,1605,4939,0.999
5563,3604,5118,0.947
5564,5224,1881,0.998
5565,2985,5072,0.999
5566,1617,2974,1
5567,3604,3454,0.999
5571,5242,1489,0.998
5572,3451,1801,1
5573,5168,1031,1
5574,5324,1494,1
5575,5168,1731,1
5581,1491,5285,1
5582,3516,2991,1
5583,NA,1869,0.54
5584,3086,5204,1
5585,5164,2966,1
5586,1803,1802,1
5587,3518,3454,1
5588,4964,911,0.997
5589,3085,1729,1
5590,5517,3093,0.817
5591,5163,5072,1
5592,1605,3519,0.987
5593,5217,1494,1
5594,3606,3458,1
5595,1707,1604,1
5596,3596,5292,0.941
5597,1716,1877,1
5598,1826,1499,1
5599,4973,1868,0.994
5600,3451,1801,1
5601,2985,5072,0.999
5602,1803,1542,0.997
5603,1605,1750,1
5604,5284,1762,1
5605,3002,5269,1
5606,5324,3458,1
5607,1580,1542,1
5608,4958,4888,1
5609,NA,5071,0.64
5610,2968,1577,0.996
5611,4973,1868,0.999
5612,1827,1744,1
5613,3518,3486,1
5614,3094,5170,1
5615,3490,3087,1
5616,3596,1877,0.98
5617,1824,5220,1
5618,1438,1708,1
5619,3085,1729,1
5620,1660,2966,0.716
5621,NA,2966,0.545
5622,4965,1616,0.984
5623,3604,1533,1
5624,5533,5167,1
5625,5531,4957,1
5626,3595,5249,1
5627,3462,2966,1
5628,2968,5240,0.999
5629,1707,1710,1
5630,5319,1881,0.999
5631,5163,5072,1
5632,5173,5291,0.887
5633,3022,3696,1
5634,3022,1616,1
5635,1826,911,0.985
5636,5336,5290,1
5637,5324,1494,1
5638,1617,1801,0.998
5639,5242,1489,1
5640,3453,1744,1
5641,3517,5077,1
5642,1852,3456,1
5643,5277,5240,0.999
5644,5277,4933,1
5645,5163,5072,1
5646,5323,1616,1
5647,3451,1801,1
5648,5277,4933,1
5649,3451,5254,1
5650,5132,2974,0.997
5651,4965,5290,1
5652,5075,5000,1
5653,3462,2966,1
5654,1605,5167,1
5655,5119,5235,0.998
5656,3606,1869,0.999
5657,3567,5285,0.999
5658,4999,5072,1
5678,4958,4888,1
5679,NA,4890,0.426
5680,5517,3093,1
5681,5598,5249,1
5682,5320,1762,1
5683,5162,5077,1
5684,5267,2960,0.999
5685,5284,5539,0.997
5686,5217,5000,1
5687,5457,5285,1
5747,5164,2966,1
5748,3608,5237,0.999
5749,4971,4902,1
5750,1826,3456,1
5751,1580,3643,1
5752,5282,5462,1
5753,5516,1731,1
5754,5128,5118,0.999
5755,4965,1616,0.884
5756,5562,2991,1
5757,5532,5515,1
5758,1864,5275,0.995
5759,3574,4866,1
5760,2978,3089,1
5761,5195,1881,0.821
5762,3022,NA,0.459
5763,5573,NA,0.485
5764,5452,5334,1
5765,5319,5335,1
5766,5337,5508,0.998
5767,5524,4860,1
5768,4917,5144,1
5769,5450,5614,1
5770,5525,5526,0.511
5771,4999,5513,0.997
5772,1415,4890,0.864
5773,5511,2974,0.999
5774,1763,3456,1
5775,1716,5334,1
5776,5132,5121,0.999
5777,3517,5333,0.999
5778,3517,5333,0.996
5779,5514,5321,1
5780,3490,3087,1
5781,NA,5586,0.602
5782,5162,5077,1
5783,4965,1616,1
5784,5341,5522,1
5785,3453,5523,1
5786,1763,2966,1
5787,5616,1499,0.981
5820,4904,5447,1
5821,3596,5249,0.999
5822,5604,1729,1
5823,5163,5072,0.967
5824,5573,5554,0.999
5825,5517,3093,1
5826,3491,1616,1
5827,5267,4854,0.967
5828,3002,1801,1
5829,3085,3456,1
5830,5195,5591,1
5831,3086,1499,0.653
5832,1707,1731,0.999
5833,3490,3087,1
5834,5267,3093,1
5835,5164,2966,1
5836,NA,5453,0.84
5837,5284,5539,1
5838,5128,5583,1
5839,1824,5679,1
5840,3698,1489,1
5841,1826,1499,0.757
5842,3595,1877,0.999
5843,5125,5508,1
5844,5683,4854,1
5845,NA,NA,0.436
5846,3491,5290,1
5847,5598,5249,1
5848,5195,1881,1
5849,5123,1577,1
5850,3596,5249,1
5851,5518,5456,1
5852,1580,3643,1
5853,4958,1710,0.995
5854,5549,5522,0.997
5855,5549,5522,1
5901,3453,NA,0.667
5902,5212,5559,1
5903,1716,4872,0.915
5904,5277,5776,1
5905,5465,5235,1
5906,4885,5338,1
5907,5589,5275,0.978
5908,5634,5291,1
5909,1707,1710,1
6009,4958,5626,1
6010,3094,4972,0.826
6011,5621,1607,1
6012,5845,5249,0.999
6013,5324,1869,0.916
6014,4803,1829,1
6015,5685,5285,1
6016,5683,1750,1
6017,5549,5612,0.999
6018,3086,5828,1
6019,1042,NA,0.292
6020,3085,1729,1
6021,5514,5321,0.999
6022,NA,5321,0.926
6023,5613,5779,1
6024,1864,5333,0.993
6025,5525,5513,0.998
6026,5530,3089,1
6027,1824,5679,1
6028,5284,1762,1
6029,5524,4860,1
6030,5212,5333,1
6031,5596,5249,0.857
6032,NA,4872,0.975
6033,5902,5523,0.999
6034,5511,2974,1
6035,6021,5321,0.762
6036,3596,5249,1
6037,3595,5292,1
6038,5536,5837,0.998
6039,1580,3643,1
6041,3567,5285,0.994
6042,4861,5000,1
6043,5640,5321,1
6044,4896,5639,1
6045,5635,5462,1
6046,5635,5595,0.993
6047,1605,5837,1
6048,1678,5291,1
6049,5625,2991,1
6050,3595,5292,1
6051,5277,4933,1
6052,1826,3456,1
6061,5630,2966,1
6062,3002,5456,1
6063,4965,5643,1
6064,3606,5547,1
6065,3462,5590,0.996
6066,3699,1881,0.994
6067,5766,4890,0.997
6068,NA,5612,0.874
6069,3518,1869,0.983
6070,5518,2974,1
6136,3085,3456,0.93
6137,5635,5620,1
6138,5589,5559,1
6139,5766,4890,0.998
6140,5625,5820,0.981
6141,1826,5780,1
6142,5604,1607,1
6143,5657,5775,1
6144,5465,5513,0.993
6145,5514,6019,1
6146,5652,1533,1
6147,1707,5822,1
6148,5575,6018,1
6149,1852,4890,0.997
6150,6028,3456,1
6151,4958,1710,1
6152,4958,5626,0.999
6153,5611,5508,1
6154,5514,5321,1
6155,5683,5837,1
6156,5657,5775,1
6157,5598,5077,1
6158,5598,5077,0.999
6159,5212,3643,1
6160,5833,5595,0.998
6161,4896,1881,1
6162,5543,5508,0.999
6163,4896,5639,1
6164,5517,2960,1
6165,6066,1750,1
6166,5452,6029,1
6167,5596,4872,0.997
6168,5608,4872,1
6169,5128,5118,1
6170,5838,5626,0.999
6171,1824,5624,1
6172,5769,5559,0.908
6173,5173,5904,1
6174,5634,4957,1
6175,4904,5283,1
6176,4965,5643,1
6177,5524,4860,1
6178,1857,3087,1
6179,5845,5292,1
6180,3567,5822,1
6181,5162,5077,1
6182,1717,3486,1
6183,3574,5650,1
6184,5518,5456,1
6185,5518,5528,1
6186,4861,5583,1
6187,5282,5462,1
6188,6022,5522,1
6189,3497,5835,1
6190,5842,5333,1
6191,6048,4957,1
6192,6063,5643,0.664
6193,1826,5780,1
6194,5536,1750,0.928
6195,5132,5498,1
6196,5537,5626,1
6197,5195,5764,1
6198,4958,5626,1
6199,5838,5820,1
6200,5596,5292,0.998
6201,5549,5612,1
6202,5613,5522,0.988
6203,3491,5291,1
6204,5641,5776,1
6205,3085,6047,0.999
6206,6061,5547,0.998
6207,5545,5638,1
6208,4917,5847,1
6209,5630,2966,1
6210,5630,2966,1
6211,5683,5620,1
6212,5564,4892,1
6213,5901,5776,1
6214,5641,5612,0.996
6215,3086,2966,1
6216,5514,5522,1
6217,5843,5588,1
6218,5851,1533,1
6219,5212,5559,1
6220,5128,5606,1
6221,5597,5602,1
6222,5530,6026,0.826
6223,3595,6012,0.987
6224,5597,5602,0.999
6225,5641,6019,0.999
6226,NA,1829,0.906
6227,5173,6014,1
6228,5277,5522,0.958
6229,6066,1750,1
6230,5750,5847,1
6231,5525,5834,0.699
6233,3608,5834,1
6239,1716,6012,0.922
6240,5543,6033,0.999
6245,5277,5291,0.972
6249,5217,5000,1
6261,5901,5776,1
6267,1707,5626,0.637
6268,5766,4890,0.989
6272,6028,3456,0.961
6273,5625,5626,0.984
6274,5749,5639,0.998
6276,5635,5462,1
6279,5657,1762,1
6281,5630,2966,1
6282,5769,5679,1
6283,4896,5764,1
6284,5575,5820,1
6294,5625,5820,0.999
6297,5842,5333,0.982
6300,5634,4957,1
6306,5277,6051,0.974
6307,5549,5523,0.999
6309,5337,6033,1
6310,5319,5612,1
6311,5128,3486,1
6312,NA,NA,0.583
6313,6022,5643,0.981
6314,5833,5559,1
6315,5530,5822,0.999
