BloodID,TL,BirdID,Ageclass,RightTarsus,LeftTarsus,OccasionDate,OccasionID,LayYear,BodyMass,TerritoryID,FieldPeriodID,Status,BreedGroupID,MaxOfMaxOfSeenDate,SexEstimate
54,6831.149228,1765,A,24.4,,10/06/2003,1126,2002,14.1,47,30,BrF,477,25/02/2012,0
682,6519.103489,1765,A,24.1,,08/09/2005,1729,2002,16.0,47,37,BrF,680,25/02/2012,0
3754,5077.636192,1765,A,24.6,,19/07/2007,2223,2002,14.9,47,82,BrF,4222,25/02/2012,0
4189,3585.46966,1765,A,24.5,,29/07/2008,2372,2002,,47,87,BrF,4528,25/02/2012,0
4672,604.7999721,1765,A,,,03/07/2011,3520,2002,14.9,47,105,BrF,5109,25/02/2012,0
62,3085.143773,1766,OFL,25.2,,13/06/2003,1129,2003,14.1,39,30,OFL,2581,26/08/2008,1
376,5771.699366,1766,A,25.3,,26/07/2004,1417,2003,16.4,39,34,ABX,589,26/08/2008,1
3157,4981.613915,1766,A,25.6,,09/08/2006,1911,2003,15.5,39,75,H,3788,26/08/2008,1
3927,3273.647747,1766,A,,,01/02/2008,2142,2003,15.2,39,85,ABX,4341,26/08/2008,1
3927,3411.86813,1766,A,,,01/02/2008,2142,2003,15.2,39,85,ABX,4341,26/08/2008,1
3869,4174.814959,1766,A,25.4,,11/01/2008,2132,2003,14.8,39,85,ABX,4341,26/08/2008,1
64,4677.002479,1767,A,27.0,,15/06/2003,1131,2002,15.0,42,30,B,473,17/08/2007,1
296,8121.835975,1767,A,27.0,,08/06/2004,1301,2002,15.9,12,34,BrM,2833,17/08/2007,1
296,1602.814415,1767,A,27.0,,08/06/2004,1301,2002,15.9,12,34,BrM,2833,17/08/2007,1
3747,4332.333653,1767,A,26.8,,17/07/2007,2086,2002,15.0,11,82,BrM,4196,17/08/2007,1
348,18655.97049,1768,SA,26.5,,01/07/2004,1356,2003,17.0,70,34,BrM,606,01/07/2004,1
83,2479.411937,1771,A,24.4,,23/06/2003,1142,2001,14.6,5,30,BrF,448,23/08/2003,0
680,2186.819563,1772,A,24.4,,09/09/2005,1731,2003,15.0,20,37,BrF,660,07/01/2007,0
90,5031.315751,1773,A,25.9,,26/06/2003,1148,2002,16.2,27,30,BrM,465,02/09/2005,1
90,1035.625815,1773,A,25.9,,26/06/2003,1148,2002,16.2,27,30,BrM,465,02/09/2005,1
