BloodID,TL,BirdID,BTN,Whodunnit,Objective,Plate
3828,2599.119599,1895,2650,EB,,
4306,2606.719292,4888,3284,EB,,
4306,2606.719292,4888,3284,EB,,
759,2613.080043,1493,531,EB,,
759,2613.080043,1493,531,EB,,
4314,2623.42045,3085,3289,EB,,
4090,2639.147507,1605,3185,EB,,
4186,2639.770672,4860,3073,EB,,
3496,2640.833224,5099,2480,EB,,
3496,2640.833224,5099,2480,EB,,
713,2657.446515,1187,465,EB,,
713,2657.446515,1187,465,EB,,
4271,2661.700334,5289,3253,EB,,
768,2662.6105,1507,541,EB,,
3855,2669.751112,3089,2703,EB,,
3855,2669.751112,3089,2703,EB,,
796,2671.212204,1519,573,EB,,
796,2671.212204,1519,573,EB,,
461,2671.851665,1617,1473,EB,,
3994,2672.57219,1491,3046,EB,,
4300,2673.749291,4936,3283,EB,,
603,2682.255754,1757,1623,EB,,
603,2682.255754,1757,1623,EB,,
914,2689.11164,1593,705,EB,,
3963,2696.064567,3093,3020,EB,,
3788,2696.457076,3580,2472,EB,,
4277,2739.132682,1744,3245,EB,,
3841,2739.884004,911,2677,EB,,
4128,2740.86563,4957,3233,EB,,
3744,2749.34073,1187,2588,EB,,
4187,2753.790762,2985,3074,EB,,
4000,2758.688554,1196,2995,EB,,
4000,2758.688554,1196,2995,EB,,
3831,2759.954792,1553,2661,EB,,
3831,2759.954792,1553,2661,EB,,
4073,2760.788227,1782,3166,EB,,
1006,2761.03201,1059,857,EB,,
1006,2761.03201,1059,857,EB,,
3919,2768.728087,1539,2796,EB,,
3740,2795.250779,911,2591,EB,,
4313,2799.384665,5147,3288,EB,,
3228,2803.89946,3642,2237,EB,,
605,2804.073186,1523,1625,EB,,
2911,2809.694117,1199,1871,EB,,
4005,2810.112298,5169,3138,EB,,
3741,2817.252291,1614,2598,EB,,
907,2832.134757,1589,698,EB,,
872,2835.719113,1574,663,EB,,
867,2836.450523,1570,650,EB,,
4071,2836.671674,5155,3164,EB,,
3789,2845.207031,4872,2481,EB,,
4004,2847.285478,3491,3137,EB,,
4013,2856.565331,1678,3139,EB,,
72,2869.54549,51,1071,EB,,
3697,2875.053466,1782,2510,EB,,
239,2879.494438,1773,1243,EB,,
239,2879.494438,1773,1243,EB,,
4064,2887.234486,4896,3158,EB,,
4091,2890.559607,5071,3182,EB,,
4133,2892.693624,4941,3238,EB,,
2199,2893.551852,604,150,EB,,
576,2903.370902,1587,1596,EB,,
3341,2906.85477,507,2350,EB,,
4008,2912.814094,1356,2991,EB,,
4008,2912.814094,1356,2991,EB,,
2300,2914.231833,677,41,EB,,
3477,2919.198178,5080,2484,EB,,
4063,2921.972121,5237,3157,EB,,
2492,2923.658863,1151,2,EB,,
2492,2923.658863,1151,2,EB,,
2492,2923.658863,1151,2,EB,,
2492,2923.658863,1151,2,EB,,
3881,2925.171456,3089,2747,EB,,
