BirdID,BloodID,Status,TerritoryID,PeriodEnd
1385,2700,BrF,43,13/08/2000
221,2412,BrM,45,13/08/2000
221,2851,BrM,45,13/08/2000
221,56,BrM,45,13/08/2000
221,2193,BrM,45,13/08/2000
454,1124,BrF,45,13/08/2000
1390,2697,SEEN1,45,13/08/2000
1390,1127,SEEN1,45,13/08/2000
1390,2709,SEEN1,45,13/08/2000
1390,2709,SEEN1,45,13/08/2000
1404,2763,ABX,45,13/08/2000
1553,4331,ABX,47,13/08/2000
1553,684,ABX,47,13/08/2000
1553,4199,ABX,47,13/08/2000
1553,4331,ABX,47,13/08/2000
1553,1141,ABX,47,13/08/2000
1553,3831,ABX,47,13/08/2000
1553,844,ABX,47,13/08/2000
1553,68,ABX,47,13/08/2000
604,2673,BrF,47,13/08/2000
604,2199,BrF,47,13/08/2000
921,2559,BrM,47,13/08/2000
921,55,BrM,47,13/08/2000
921,2231,BrM,47,13/08/2000
1383,2692,ABX,47,13/08/2000
1557,852,ABX,47,13/08/2000
1213,2463,BrM,48,13/08/2000
1213,2672,BrM,48,13/08/2000
1213,211,BrM,48,13/08/2000
1502,788,OFL,48,13/08/2000
1561,856,ABX,49,13/08/2000
1274,2598,BrM,49,13/08/2000
1274,2695,BrM,49,13/08/2000
1386,2702,BrF,49,13/08/2000
1388,2699,ABX,49,13/08/2000
1558,2845,ABX,51,13/08/2000
1558,853,ABX,51,13/08/2000
51,2214,BrM,51,13/08/2000
51,72,BrM,51,13/08/2000
1361,4238,BrF,51,13/08/2000
1361,378,BrF,51,13/08/2000
1361,3858,BrF,51,13/08/2000
1361,2741,BrF,51,13/08/2000
1361,2713,BrF,51,13/08/2000
449,2491,ABX,52,13/08/2000
848,880,U,52,13/08/2000
1370,2664,ABX,52,13/08/2000
1370,882,ABX,52,13/08/2000
1384,3916,BrF,52,13/08/2000
1384,3232,BrF,52,13/08/2000
1384,883,BrF,52,13/08/2000
1384,633,BrF,52,13/08/2000
1384,3759,BrF,52,13/08/2000
216,2194,BrM,53,13/08/2000
308,846,BrF,53,13/08/2000
932,847,ABX,53,13/08/2000
932,2493,ABX,53,13/08/2000
1574,872,OFL,53,13/08/2000
1552,884,SEEN1,54,13/08/2000
1552,843,SEEN1,54,13/08/2000
1552,1129,SEEN1,54,13/08/2000
1552,884,SEEN1,54,13/08/2000
459,1021,BrF,55,13/08/2000
459,827,BrF,55,13/08/2000
1441,739,ABX,55,13/08/2000
1441,740,ABX,55,13/08/2000
557,807,BrM,57,13/08/2000
557,2666,BrM,57,13/08/2000
949,2364,BrF,57,13/08/2000
1505,794,ABX,57,13/08/2000
1523,2921,ABX,57,13/08/2000
1523,590,ABX,57,13/08/2000
1523,3230,ABX,57,13/08/2000
1523,526,ABX,57,13/08/2000
1523,605,ABX,57,13/08/2000
1523,4054,ABX,57,13/08/2000
1573,871,OFL,57,13/08/2000
1032,795,BrM,60,13/08/2000
1032,2353,BrM,60,13/08/2000
1032,873,BrM,60,13/08/2000
1032,2483,BrM,60,13/08/2000
1369,2663,BrF,60,13/08/2000
1572,870,FL,60,13/08/2000
607,2665,BrM,61,13/08/2000
1563,859,SEEN1,61,13/08/2000
1538,833,ABX,62,13/08/2000
1538,125,ABX,62,13/08/2000
1539,121,BrM,62,13/08/2000
1539,3919,BrM,62,13/08/2000
176,2215,BrM,63,13/08/2000
176,2163,BrM,63,13/08/2000
176,1020,BrM,63,13/08/2000
1042,2408,BrF,63,13/08/2000
1042,1019,BrF,63,13/08/2000
1042,4797,BrF,63,13/08/2000
1042,292,BrF,63,13/08/2000
1540,838,ABX,65,13/08/2000
1540,115,ABX,65,13/08/2000
453,4321,BrM,65,13/08/2000
453,3217,BrM,65,13/08/2000
453,117,BrM,65,13/08/2000
869,832,BrF,65,13/08/2000
869,4072,BrF,65,13/08/2000
467,2223,BrM,67,13/08/2000
467,2507,BrM,67,13/08/2000
467,2649,BrM,67,13/08/2000
1305,3362,BrF,67,13/08/2000
1156,2481,BrM,68,13/08/2000
1200,2564,BrF,68,13/08/2000
1200,683,BrF,68,13/08/2000
1495,530,ABX,68,13/08/2000
1495,784,ABX,68,13/08/2000
1495,110,ABX,68,13/08/2000
1178,2561,BrM,69,13/08/2000
1193,373,BrF,69,13/08/2000
1193,3830,BrF,69,13/08/2000
1193,2549,BrF,69,13/08/2000
1188,318,BrM,71,13/08/2000
1188,1144,BrM,71,13/08/2000
1188,1058,BrM,71,13/08/2000
1188,1014,BrM,71,13/08/2000
1188,5003,BrM,71,13/08/2000
1188,112,BrM,71,13/08/2000
1188,112,BrM,71,13/08/2000
1188,112,BrM,71,13/08/2000
1188,2560,BrM,71,13/08/2000
1244,1013,BrF,71,13/08/2000
1244,3783,BrF,71,13/08/2000
1244,175,BrF,71,13/08/2000
1244,2498,BrF,71,13/08/2000
1244,349,BrF,71,13/08/2000
1244,3890,BrF,71,13/08/2000
1244,1142,BrF,71,13/08/2000
1513,775,ABX,71,13/08/2000
1184,2568,BrM,72,13/08/2000
1186,789,BrF,72,13/08/2000
1186,878,BrF,72,13/08/2000
1186,2558,BrF,72,13/08/2000
1575,876,OFL,72,13/08/2000
1031,3145,BrM,74,13/08/2000
1031,2600,BrM,74,13/08/2000
1031,3750,BrM,74,13/08/2000
1031,996,BrM,74,13/08/2000
1031,2352,BrM,74,13/08/2000
1031,3385,BrM,74,13/08/2000
1031,3974,BrM,74,13/08/2000
1031,4027,BrM,74,13/08/2000
628,2244,BrF,76,13/08/2000
628,2361,BrF,76,13/08/2000
628,2442,BrF,76,13/08/2000
1358,277,BrM,76,13/08/2000
1158,2515,BrF,77,13/08/2000
1158,1072,BrF,77,13/08/2000
1158,2658,BrF,77,13/08/2000
1355,102,BrF,79,13/08/2000
