BloodID,BTN,TL,Objective,Whodunnit,ID,PlateID,BirdID,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,BreedGroupID,TerritoryID,Status,MaxOfMaxOfSeenDate,SexEstimate
2492,2,12525.02865,1,EB,4,37,1151,26.2,26.1,15.9,,1996,22,668,04/07/1997,114,168,SEEN1,16/08/1999,1
2493,20,7527.127521,7,EAF,1918,30,932,24.0,24.2,14.4,,1994,22,677,06/07/1997,45,53,H,04/07/2003,0
2496,202,6475.362349,1,EB,185,13,501,26.6,26.3,16.9,,1994,23,758,27/12/1997,119,2,BrM,18/12/2004,1
2497,203,8664.616631,1,EB,186,13,927,25.3,24.7,15.5,,1994,23,758,27/12/1997,119,2,BrF,27/12/2003,0
2498,204,6168.816173,1,EB,187,13,1244,23.2,22.8,14.0,,1997,23,759,28/12/1997,119,2,SEEN1,17/07/2008,0
2498,204,6168.816173,1,EB,187,13,1244,23.2,22.8,14.0,,1997,23,759,28/12/1997,139,47,ABX,17/07/2008,0
2499,205,4828.60443,5,EB,188,1,1222,24.8,25,13.7,,1997,23,759,28/12/1997,119,2,FL,19/08/2004,0
2501,21,6060.94669,8,EAF,2401,8,216,27.0,26.7,17.5,,1988,22,677,06/07/1997,45,53,BrM,02/12/1999,1
2502,217,7928.442679,8,EAF,2402,18,1262,26.0,25.8,13.9,,1997,23,769,16/01/1998,158,89,FL,18/01/1999,1
2504,23,4894.954321,7,EAF,1919,25,1166,25.7,25.4,16.0,,1996,22,674,06/07/1997,81,108,BrM,30/08/2004,1
2504,23,3504.597805,7,EAF,1920,26,1166,25.7,25.4,16.0,,1996,22,674,06/07/1997,81,108,BrM,30/08/2004,1
2507,26,2440.481449,1,EB,45,29,467,26.8,26.1,,,1992,22,681,08/07/1997,55,67,BrM,07/12/1999,1
2508,27,4233.077545,7,EAF,1921,45,1154,25.8,26,,,1996,22,680,08/07/1997,115,169,BrM,02/08/1999,1
2511,3,5140.825078,1,EB,5,1,1033,25.0,25.4,13.6,,1996,22,669,04/07/1997,15,1,H,14/08/1997,0
2513,31,1413.318636,1,EB,51,29,530,24.5,24.6,14.1,,1993,22,682,09/07/1997,78,104,BrF,12/02/1998,0
2514,32,4820.042102,1,EB,52,4,637,27.0,26.5,16.7,,1993,22,683,09/07/1997,78,104,BrM,24/12/1997,1
2515,33,4439.633179,1,EB,55,4,1158,24.6,24.5,15.3,,1996,22,684,10/07/1997,63,77,BrF,20/08/2002,0
2516,34,6001.71401,1,EB,58,4,1159,25.7,25.9,16.0,,1996,22,684,10/07/1997,63,77,BrM,23/08/1999,1
2517,35,3958.957255,1,EB,59,29,1019,25.2,25.1,15.0,,1995,22,684,10/07/1997,63,77,H,19/01/1999,0
2518,36,6595.915388,1,EB,60,4,1172,24.4,24.6,16.5,,1996,22,686,11/07/1997,101,139,BrF,22/02/2010,0
2520,38,6259.869304,1,EB,63,4,1180,23.7,23.7,14.1,,1996,22,686,11/07/1997,102,141,ABX,17/02/1998,0
2521,39,10233.75257,1,EB,66,29,550,26.7,26.6,17.3,,1993,22,686,11/07/1997,19,8,SEEN1,06/03/1998,1
2521,39,10233.75257,1,EB,66,29,550,26.7,26.6,17.3,,1993,22,686,11/07/1997,102,141,BrM,06/03/1998,1
2522,4,9624.101415,1,EB,7,1,500,24.5,24.7,16.1,,1991,22,672,05/07/1997,36,40,BrF,23/06/1998,0
2523,40,3215.950552,1,EB,67,15,1160,24.5,24.7,15.0,,1996,22,685,11/07/1997,84,112,BrF,04/12/1999,0
2524,41,7122.992936,1,EB,70,36,1047,24.3,24.2,15.5,,1996,22,685,11/07/1997,65,81,ABX,20/11/1999,1
2524,41,7122.992936,1,EB,70,36,1047,24.3,24.2,15.5,,1996,22,685,11/07/1997,84,112,SEEN1,20/11/1999,1
2526,43,8879.895189,1,EB,73,29,329,24.6,24.1,14.1,,1988,22,685,11/07/1997,85,115,BrF,02/12/1999,0
2527,44,5324.304591,5,EB,76,1,1179,26.1,26,16.3,,1997,22,685,11/07/1997,85,115,FL,21/09/1999,1
2527,44,9913.747492,2,EB,75,1,1179,26.1,26,16.3,,1997,22,685,11/07/1997,85,115,FL,21/09/1999,1
2528,45,6851.90143,1,EB,77,35,1045,25.1,24.8,12.5,,1996,22,685,11/07/1997,34,33,SEEN1,08/07/2001,1
2528,45,6851.90143,1,EB,77,35,1045,25.1,24.8,12.5,,1996,22,685,11/07/1997,85,115,SEEN1,08/07/2001,1
2529,46,5851.73795,1,EB,79,35,1168,25.3,25.3,15.5,,1996,22,688,12/07/1997,102,141,ABX,08/07/2001,1
2531,48,6979.634369,1,EB,81,35,677,24.6,24.9,15.2,,1993,22,688,12/07/1997,102,141,BrF,08/07/2001,0
2532,49,11295.57861,1,EB,82,35,1049,23.6,23.4,14.9,,1996,22,688,12/07/1997,36,40,ABX,23/12/2003,0
2533,5,2506.99868,1,EB,10,30,172,25.0,25.1,15.4,,1989,22,670,05/07/1997,26,22,BrF,14/08/1997,0
2533,5,2506.99868,1,EB,10,30,172,25.0,25.1,15.4,,1989,22,670,05/07/1997,2302,24,SEEN2,14/08/1997,0
2534,50,7262.554689,1,EB,83,35,1173,25.0,24.7,14.8,,1996,22,687,12/07/1997,64,80,BrF,08/07/2001,0
2535,51,8210.218408,1,EB,84,35,1174,26.2,26.1,16.1,,1996,22,687,12/07/1997,2305,86,BrM,14/08/1997,1
2536,52,3275.130639,1,EB,85,34,1187,26.8,26.7,14.6,,1996,22,689,13/07/1997,19,8,SEEN1,05/09/2010,1
2537,53,5305.791274,1,EB,87,35,596,23.7,23.8,13.9,,1993,22,689,13/07/1997,19,8,BrF,27/08/1999,0
2538,54,6960.138241,1,EB,88,36,497,27.0,27.1,16.9,,1993,22,689,13/07/1997,19,8,BrM,31/08/2007,1
2539,55,5261.49184,1,EB,89,36,1169,24.7,25.1,16.8,,1997,22,690,13/07/1997,109,162,BrM,13/07/1997,1
